Country,L1Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Mexico,Queretaro,216,0.8826,10.2595,60.8428,8895.3335,14075.4654,1.05498641626807,10.9698710000988,1622.80323551599,87.0393129050215,2.82000928339343,6,6,2118.80340250041,5112.355945,20.5887932,-100.3898881
Brasil,Caxias do Sul,219,2.2889,7.6153,61.1904,1633.0927,2963.1074,1.03831961270621,8.48316023478821,1399.62358767881,95.7123836608861,2.879916271896,4,5,887.287259897893,7266.572779,-29.1634031,-51.1796683
Mexico,Villahermosa,223,1.7218,10.8179,60.7832,2582.9244,4741.1985,1.0565693665349,4.8867193059014395,978.9605494591509,115.511272008547,2.77572442341809,6,2,1104.42193671371,6688.727952,17.989456,-92.9475061
Brasil,Rio Branco,240,2.786,6.632,60.5603,1914.9996,3209.5381,1.03392028425959,8.43848219816848,1429.54994556884,99.4548556317334,2.87893631910426,6,5,710.317312905033,5778.54958,-9.975337399999999,-68.42932139999999
Colombia,Medellin,242,1.2233,6.6016,60.602,6080.0914,9237.1751,1.06686498507848,11.676146429263898,1743.60766146807,86.7792378811211,2.91776035834266,6,6,1616.02975042421,24722.03606,6.244203,-75.5812119
Mexico,Leon,243,1.0563,7.4089,60.8147,7412.6696,11635.1571,1.0404715272886,10.8663994762858,1700.20306998709,92.1000673612993,3.03533032416906,6,6,2001.5829573968601,8602.606258,21.1250077,-101.6859605
Brasil,Natal,248,1.0816,5.2645,61.5718,2025.9198,3858.5805,1.04040021018998,12.554210096598,1839.56326600211,87.5646854894891,3.04108652411735,4,6,1161.60235393477,8741.350831,-5.7792569,-35.200916
Brasil,Vitoria,252,1.3408,8.5551,60.3803,4534.2981,7347.2791,1.04560528014905,10.781871246870999,1608.94201180906,87.7067352477434,2.93712825050385,6,6,1624.94984394145,7867.566519,-20.2976178,-40.2957768
Brasil,Maceio,255,2.0428,10.7039,61.507,3044.4088,5405.6135,1.04708591816118,11.905528720661499,1702.46538087221,84.395017742635,2.80369499496137,6,6,1028.17777246266,13250.30047,-9.6498487,-35.7089492
Mexico,Cuernavaca,259,1.0694,7.9767,61.6439,8156.5024,12755.8015,1.0680789541849,6.05725897310183,1159.40721445252,109.706108488632,2.71715610510046,6,2,2076.68188793956,5081.364084,18.9242095,-99.22156590000002
Mexico,Mexicali,260,1.125,7.3746,60.443,8686.993,12628.1422,1.02481584311664,8.10884749902526,1449.7359302078,101.986953774989,3.13276135687363,6,5,2220.4141836635,3894.998425,32.6245389,-115.4522623
Mexico,Tampico,260,1.3072,6.0497,60.2886,3875.9792,6199.7602,1.02661899763485,6.745620144134251,1215.0722960801,100.729300451628,3.17467018469657,6,1,1743.79816068188,5677.580145,22.2331041,-97.861099
Mexico,Saltillo,261,1.1671,6.7046,61.5111,5569.0435,8820.856,1.0323572732027,9.77307003371961,1479.35862279505,87.460736612665,3.05227936222771,6,5,2007.14820750488,5017.255961,25.4383234,-100.973678
Brasil,Teresina,269,1.2687,6.2128,60.6169,3195.5189,5298.3755,1.01438732983042,10.973713334091899,1773.17335408326,93.7566829074457,3.25979637447231,6,3,1729.86111647601,6683.037381,-5.0920108,-42.80375970000001
Brasil,Londrina,270,1.5843,7.3208,62.1118,2338.5597,4005.4543,1.02364949558469,9.34201783145936,1593.99661892219,102.692602967587,3.11949518432414,4,3,1506.63381872407,5804.826703,-23.3044524,-51.1695824
Mexico,Merida,278,1.086,7.1651,60.7446,8878.4881,13224.763,1.02211793903679,10.8491434281836,1816.93268224953,96.9091207194245,3.2340030911901,6,3,2224.1387220778697,4978.235283,20.9673702,-89.5925857
Mexico,Torreon,284,0.9976,9.6011,60.8098,9189.2337,14640.5101,1.0451676368962,10.1282650908083,1591.44318819917,90.1987302818146,3.08871299342105,6,6,2558.1873862596603,5012.014218,25.5428443,-103.4067861
Brasil,Florianopolis,287,1.7414,10.2172,60.786,3182.1419,5737.7376,1.04956613357701,7.179752238810971,1296.0824510696,103.016363123186,2.67164283711802,6,2,1506.5979493731602,5258.357431,-27.5948698,-48.54821949999999
Brasil,Uberlandia,307,1.8503,6.1507,60.3534,5461.1891,8290.9047,1.0212104874824,9.48781958984918,1709.96720595477,105.580555092653,3.28344107409249,6,3,1422.77157276918,4955.250167,-18.9127534,-48.275484
Brasil,Sao Jose dos Campos,313,1.6698,6.1753,61.043,1744.5775,3116.7536,1.05010969136968,8.08429164638985,1365.44333207518,100.079098762695,2.87118042348167,6,5,1652.71128064343,6731.854694,-23.223701,-45.9009074
Brasil,Blumenau,323,2.3924,7.3033,60.7321,1025.195,1963.3428,1.07184722249972,4.24926256853728,878.8416884417859,115.109869137912,2.3556996757296,6,2,1226.09509672955,3963.404353,-26.9165792,-49.0717331
Peru,Lima,327,0.4158,12.6495,60.6204,33262.8096,48828.6759,1.0306965127638,15.2415492433694,2059.946799177,81.2525759068026,3.09429349854445,3,4,6527.94531653556,16157.95308,-12.0463731,-77.042754
Mexico,Aguascalientes,331,1.7599,10.5435,60.5249,6299.3619,9969.0603,1.03252595819001,11.985570300355601,1762.91421136287,86.0632277101273,3.00512226626876,6,6,1643.7265400224899,6341.28524,21.8852562,-102.2915677
Nicaragua,Managua,349,2.1759,7.1655,60.6116,5547.5273,8690.0696,1.04193896351282,10.259897648694,1505.67667485661,84.8476321197514,2.90125045972784,6,6,1332.66436646571,8837.904772,12.1149926,-86.2361744
Mexico,Chihuahua,350,1.5109,8.2062,60.861,8136.178,12231.0926,1.03079258920816,10.9665762526274,1745.10097252112,90.875478305383,3.17645921917278,6,3,2136.30940599049,4821.609639,28.6329957,-106.0691004
Colombia,Bogota,363,0.7124,6.4454,60.7517,20623.6926,29460.2401,1.04286771365727,14.0314789989124,1902.29910455666,79.3044319600879,2.92952092462429,3,4,4152.94781145427,21914.48466,4.710988599999999,-74.072092
Brasil,Campo Grande,365,1.3074,8.5804,61.195,8927.7199,13861.4681,1.02305311395308,9.845817090720601,1675.17490980853,98.6268567211512,3.28069965256978,6,3,2413.3091018310697,4266.579552,-20.4697105,-54.6201211
