Country,L1Name,L2Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Brasil,Lages,LAGES,163,0.062,4.3277,75.7995,27.1891,2055.902,1.10197516352829,1.65251810702889,520.955469180026,178.709606188246,2.98644986449864,1,6,2641.42340191839,4579.373703,-28.0201187488587,-50.3408624251585
Mexico,Morelia,Morelia,508,0.4263,6.8702,83.1542,554.7284,6400.1419,1.0660205927925,16.7580675708584,2738.37775426864,95.0216239505403,2.95112234407128,3,4,1198.46753899746,7034.332661,19.6665813098475,-101.279118525439
Brasil,Florianopolis,PALHO0A,275,0.6963,5.2702,62.9385,155.798,1566.5722,1.06245335327102,10.6444054951958,2428.13635063657,127.292715762416,2.61892406158104,2,4,396.640282250192,3553.849875,-27.7719984606248,-48.6615399794745
Brasil,Sobral,SOBRAL,215,0.1013,3.5913,156.6542,5.2292,643.3311,1.05240077115375,1.92740011114663,443.963288435524,134.407588728521,3.08436886854153,1,6,2137.07573024344,11065.7691,-3.80973929289471,-40.2267114629957
Mexico,Mexico City,Cuautitl n,94,2.3028,2.421,67.8818,413.8882,959.3373,1.05976217108662,37.6552421060888,6316.07882735944,96.3381497401199,2.57584269662921,2,1,41.0301438415177,7901.846552,19.708238593373,-99.1594239924362
Brasil,Rio Branco,RIO BRANCO,567,0.0642,6.9273,70.2329,17.9892,2820.9598,1.07306581457732,0.856446043622134,232.469970913733,157.268684320431,2.82819051714869,1,6,8891.39491822996,5972.166751,-10.0661478311005,-68.3710447619058
Brasil,Macae,MACA4,258,0.2121,6.7379,85.0164,36.5699,1339.422,1.11656555783935,4.0124684718056,1009.67126751168,148.040974317643,2.73396596858638,1,2,1222.68873499517,6257.094425,-22.2957803884314,-41.9773433307675
Chile,Santiago,EL BOSQUE,1,0.0698,1.2253,,1432.98,1432.98,1.02298699632814,174.522559219004,20539.6487800853,70.3002395512814,3.0063224446786,6,5,14.3649050943266,13238.00751,-33.5627691761087,-70.676214301167
Peru,Arequipa,PAUCARPATA,26,0.9155,2.9536,62.9107,205.6137,706.7692,1.03501676211472,103.420613302529,12883.5092524188,73.0098924487769,3.13852813852813,4,5,28.5726404595565,15037.52118,-16.420070068385,-71.4779991022769
Mexico,Toluca,Metepec,96,1.4251,6.0702,60.5735,1784.6668,3030.4921,1.07260482850413,52.4380839475553,10199.9440735227,110.55047869981,2.67867867867867,2,1,67.7179586414988,5414.145997,19.247385457102,-99.5883660568435
