SALID1,L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY
101127,Santa Fe,Argentina,991,0.3331,90.9284,2600.7689,4.0471,76.476,1.032085029,4.302490585,1138.106975,148.4361303,3.285734912,2,8.84E-01,2,0.984297211,-31.617,-60.69799771,0,10400.1486,535424,80.81859569,79.71878906,5.869084284,10.79968623,0,0
101128,San Juan,Argentina,1116,0.8775,537.146,6246.6921,5.4303,76.9456,1.026261368,8.025722558,2064.291995,142.5261949,2.950509701,4,1.00E+00,2,0.951314369,-31.534002,-68.52699868,0,10936.1304,515184,81.87739385,81.9693456,5.625143032,10.75296189,0,0
101129,San Luis,Argentina,492,0.0377,4.1419,1268.2123,4.0074,113.7211,1.058576643,0.49026722,187.6104355,214.5583335,3.155421859,3,9.95E-01,1,0.999848315,-33.31600203,-66.34799971,0,4262.2944,209425,81.40323308,82.27020036,5.697943021,11.18229745,0,0
101130,Villa Mercedes,Argentina,428,0.0311,2.7521,1201.533,3.7158,184.1967,1.079125775,0.312261242,193.5914376,349.163114,3.336302411,3,1.00E+00,1,0.99999295,-33.66666782,-65.46666711,0,3157.0992,129347,79.03098897,78.20028063,4.180514256,9.571322986,0,0
101132,San Miguel de Tucuman-Tafi Viejo,Argentina,1070,0.3431,343.7809,6709.2011,4.7919,72.923,1.055563227,5.194513014,1309.421865,141.7444165,3.129585153,4,1.00E+00,2,0.993365288,-26.82900979,-65.21054418,0,15978.952,1022677,79.62377377,79.79376654,5.959584744,10.39896998,0,0
101133,Rawson-Trelew,Argentina,295,0.0721,7.7218,1129.2471,3.3843,93.4898,1.051202224,1.447981103,433.6734672,169.8148929,3.248937844,3,9.82E-01,1,0.998819163,-43.24999986,-65.30000304,0,2798.2815,132849,77.4883122,78.08095005,5.141301602,9.15422196,0,0
101134,Rio Gallegos,Argentina,338,0.0101,0.8081,1181.4987,2.4029,154.0664,1.089062168,0.161448016,118.0390819,392.3333945,3.252606392,3,1.00E+00,1,0.999997173,-51.62143498,-69.22905093,0,2297.1494,114030,79.89908801,80.99564033,4.040156709,5.945086481,0,0
102101,Rio Branco,Brasil,567,0.0642,17.987,2820.9598,6.9273,70.2329,1.073065815,0.856446044,232.469971,157.2686844,2.828190517,2,9.78E-01,1,0.995951045,-9.979001961,-67.8120027,38.5,5633.5419,336445,60.48991003,65.34537941,8.116960668,14.28532029,0,0
102102,Arapiraca,Brasil,306,0.8589,93.266,1206.2572,4.3067,87.4488,1.040865373,16.52424677,3519.23646,127.3261039,2.984157824,2,9.99E-01,3,0.999999999,-9.749999859,-36.65000142,53.95,2754.6426,221642,44.96445812,49.3255864,9.844688083,18.75095672,0,0
102103,Maceio,Brasil,549,0.4637,363.1514,4712.1847,7.2551,83.1626,1.069978284,14.12384614,2627.799604,109.204967,2.763489079,4,1.00E+00,3,0.999937176,-9.676890028,-35.74772063,42.8,9124.1055,1099695,64.18858045,63.8945569,10.31788311,16.44071684,0,0
102104,Macapa,Brasil,402,0.0503,22.2946,2797.8453,5.4139,73.9335,1.051489268,0.722084911,208.7373042,159.0697829,3.045467667,2,9.88E-01,1,0.998564492,0.036000079,-51.04799967,42.44,6364.9062,511896,67.85787329,71.51913295,10.80014975,16.80861339,0,0
102105,Manaus,Brasil,1172,0.1028,408.2956,19842.0013,6.9808,64.349,1.072019092,2.158135497,427.5606271,115.0307556,2.840770283,4,8.58E-01,1,0.938250769,-3.12200104,-60.01499668,37.78,23460.51,1864174,73.93517486,75.05173953,8.95529033,15.43437044,0,0
