L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,URBAN_PROF,TRANS_PROF
Dourados,Brasil,447,0.1094,36.8447,3176.3712,5.0918,95.3594,1.034780099,1.533381707,393.3265958,138.229875,3.393827525,-22.21666713,-54.79999914,21.03,4741.0161,199015.0,64.12443026,65.69882209,4.379484517,9.051206284,0,0,1,2
Araguari,Brasil,249,0.0912,17.7223,1897.651,4.4487,109.7824,1.078489421,1.381473845,386.6394357,161.2335839,3.227261584,-18.63333309,-48.18333425,17.79,2548.9881,112812.0,64.72440165,65.27668452,4.257534626,9.34993421,0,0,2,2
Barbacena,Brasil,285,0.3754,25.2545,1066.8204,5.792999999999999,95.8811,1.126476239,3.305553389,975.2217999,178.3389187,2.77734375,-21.23333345,-43.76666626,29.82,1797.2955,129747.0,61.46852421,59.44437734,10.0789323,14.43758013,0,0,1,4
Belo Horizonte,Brasil,4207,0.9162,3768.3857,27454.6072,9.5725,65.944,1.073186526,17.08701278,3835.2764420000003,131.14789960000002,2.973520802,-19.85200198,-43.90900169,21.26,63029.274000000005,4836451.0,68.35022594,66.52586207,5.655475205,10.28211661,1,1,4,3
Conselheiro Lafaiete,Brasil,209,0.5645,97.0446,1633.1522,6.9578,74.7667,1.078984266,8.631633812,1946.58307,134.4568147,2.892557652,-20.66666592,-43.79999905,20.57,2199.9549,119707.0,67.00898273,63.84456597,7.203861644,12.33824213,0,0,1,1
Divinopolis,Brasil,320,0.452,141.6152,2402.4102,7.0657,77.9887,1.061878343,9.736456772999999,2534.825354,141.1186184,3.17285785,-20.144425,-44.888616,14.97,4173.312,218857.0,64.62097849,63.43114092,3.8262211280000002,6.223124055,0,0,1,3
Governador Valadares,Brasil,215,0.0918,29.9024,1879.8551,4.9526,103.5837,1.0944652320000001,2.344531743,528.5263927,133.6627978,3.0488764969999997,-18.85000028,-41.93333427,32.22,3725.5415,270920.0,62.39359098,61.54041723,8.257999741,14.71428366,0,0,1,2
Ipatinga,Brasil,495,0.2396,65.5853,1837.1044,5.5871,69.9799,1.133138199,4.65477593,1211.742294,154.38817849999998,2.9023694989999997,-19.49999995,-42.53333271,25.44,7374.1635,551633.0,65.50144968,63.51133862,7.959840667999999,14.87883252,0,0,1,4
Itabira,Brasil,170,0.1356,15.255,926.1110000000001,4.8086,80.5361,1.16998179,2.016263601,649.7738262,192.0447205,2.891223314,-19.61666666,-43.21666706,25.51,2065.228,112794.0,63.78769815,63.21912034,10.07259789,16.56900583,0,0,2,4
Juiz de Fora,Brasil,496,0.3454,78.1681,1862.1888,5.9904,92.6914,1.157906569,4.705116454,1335.138846,167.4651819,2.712110482,-21.74999986,-43.33333199,19.05,6028.1856,530404.0,71.25418638,69.2397407,6.775666297000001,11.08001915,1,0,1,4
Montes Claros,Brasil,268,0.0751,59.8799,3918.4958,5.7801,121.3921,1.041484023,2.57421351,531.7608691,118.21855009999999,3.1530124010000002,-16.71666708,-43.86666485,34.73,5453.7196,371840.0,68.02588678,69.7759901,8.023602015,16.11708825,0,0,1,2
Passos,Brasil,166,0.124,21.8445,1592.9893,4.7322,92.8348,1.059290135,2.23596784,542.8931882999999,141.0003601,3.2112938260000004,-20.71666715,-46.61666482,19.47,1835.3624,109205.0,57.70107516,58.06988618,4.401340463,8.525398839,0,0,2,2
