COUNTRY,L1,BECTUAREA,BECNURBPTCH,BECPTCHDENS,BECAWMNSHPINDX,BECAWMNNNGH,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECTPOP,BECPOPDENS,BECPRSBRT,BECPRSSUBWAY,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,POP,AREA,DENSPOP,BRT,SUBWAY,PM2.5,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,URBAN_PROF,TRANS_PROF
Argentina,Jujuy,2994.5718,66,1.2844,5.0738,60.9195,919.8392,1578.3758,238054.5929,7949.541768000001,0,0,1.0350087,12.06385272,1859.013706,90.76499818,3.179011304,-24.18333227,-65.30000304,238054.5929,2994.5718,7949.541768000001,0,0,9.432888888999999,,,,,,,,,,,1,3
Argentina,Santa Rosa,2852.1012,46,1.0364,5.6902,60.2833,1734.2685,2698.8151,107004.0849,3751.764836,0,0,1.011868822,8.768484918,1499.490192,98.2770316,3.4455569460000004,-36.61666476,-64.2833327,107004.0849,2852.1012,3751.764836,0,0,6.018491991,,,,,,,,,,,2,2
Argentina,La Rioja,4031.284,94,1.445,5.2028,62.3908,1955.1728,3155.0252,174036.0889,4317.142172,0,0,1.020463045,8.904341612,1477.034556,96.54703178,3.2374674760000004,-29.41299893,-66.85499664,174036.0889,4031.284,4317.142172,0,0,7.68190023,,,,,,,,,,,2,2
Argentina,Mendoza,18546.0216,456,1.4935,9.395,61.3404,8639.6698,14223.2745,898296.4269,4843.6049490000005,0,0,1.028456451,6.25338826,1132.255364,104.94274209999999,3.063503509,-32.89699806,-68.83000158,898296.4269,18546.0216,4843.6049490000005,0,0,12.57670333,,,,,,,,,,,3,4
Argentina,San Rafael,2411.1037,79,1.8938,5.6313,64.4794,1064.0484,1840.9746,104993.5901,4354.592927000001,0,0,1.0313832840000001,6.392005676,1186.714416,105.3028483,3.253054101,-34.59999838,-68.33333578,104993.5901,2411.1037,4354.592927000001,0,0,8.320250482,,,,,,,,,,,1,4
Argentina,Posadas,5783.6727,117,1.3127,4.0537,60.7742,2708.3075,4173.7007,306280.2595,5295.603993,0,0,1.017961388,10.328988699999998,1647.074396,92.22323633,3.25039019,-27.39799808,-55.90600168,306280.2595,5783.6727,5295.603993,0,0,8.829383886,,,,,,,,,,,2,2
Argentina,Neuquen-Plottier-Cipolletti,6182.8263,159,1.629,6.5269,61.224,2827.1368,4463.1789,282216.1126,4564.520924,0,0,1.026527854,10.34422622,1550.961266,87.88772451,3.2247789389999997,-38.944908,-68.2833326,282216.1126,6182.8263,4564.520924,0,0,8.59263115,,,,,,,,,,,2,2
Argentina,San Carlos de Bariloche,2310.57,90,2.093,4.3101,60.3125,456.9332,850.3802,101277.9585,4383.245626,0,0,1.033279287,6.08007311,1120.7587369999999,106.63113030000001,3.1208267089999997,-41.15000145,-71.30000304,101277.9585,2310.57,4383.245626,0,0,1.118924509,,,,,,,,,,,1,4
Argentina,Salta,7053.571,115,1.0302,6.6827,60.4912,3486.2713,5517.1456,481498.1089,6826.303686,0,0,1.018743631,10.3792394,1633.576727,91.74372976,3.2763049260000003,-24.783333,-65.416667,481498.1089,7053.571,6826.303686,0,0,7.940998994,,,,,,,,,,,2,2
Argentina,Santiago del Estero,6498.5394,111,1.1085,6.212000000000001,61.1866,3274.6968,5046.0155,374812.6835,5767.644479,0,0,1.012264406,8.876782755,1612.674407,103.1834401,3.3709281960000004,-27.79000206,-64.26899971,374812.6835,6498.5394,5767.644479,0,0,9.878249486,,,,,,,,,,,2,2
Argentina,Rosario,19255.5162,366,1.2313,8.1864,60.6046,8589.2969,13259.594,1100346.872,5714.454948,1,0,1.0160921920000001,7.398750307999999,1356.824757,103.3851753,3.3835505980000002,-32.93773203,-60.66393257,1100346.872,19255.5162,5714.454948,1,0,10.45023054,,,,,,,,,,,3,4
Argentina,Santa Fe,5248.0832,67,0.8291,5.0556,60.663999999999994,3169.9537,4880.9416,276964.3976,5277.4423719999995,0,0,1.0130630729999999,8.885555576,1493.597654,94.02827223,3.4003338430000003,-31.616999999999997,-60.69799771,276964.3976,5248.0832,5277.4423719999995,0,0,10.25216763,,,,,,,,,,,2,2
Argentina,San Juan,9051.8464,163,1.1951,6.0141,61.1442,5051.178,7610.868,426884.3756,4715.995594,0,0,1.028700343,7.267806636,1285.091684,101.5236056,2.956026205,-31.534002,-68.52699868,426884.3756,9051.8464,4715.995594,0,0,14.30598852,,,,,,,,,,,3,4
Argentina,San Luis,3060.2739,89,1.7943,6.0548,60.2574,1601.5772,2595.8335,147381.9927,4815.980051,0,0,1.017977326,8.61173279,1433.582537,97.01865962,3.29049377,-33.31600203,-66.34799971,147381.9927,3060.2739,4815.980051,0,0,5.953382156,,,,,,,,,,,2,2
Argentina,Villa Mercedes,2315.0688,48,1.2646,3.9186,83.3973,959.4327,1572.9951,94661.83702,4088.9405939999997,0,0,1.011162295,8.093248481,1449.14973,98.94187616,3.5109606710000003,-33.66666782,-65.46666711,94661.83702,2315.0688,4088.9405939999997,0,0,6.041418355,,,,,,,,,,,4,2
