L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG
SAN SALVADOR,SAN PEDRO PERULAPAN,El Salvador,119,1.3354,0.0204,2.0496,1.6489,138.5983,1.215690225,1.61664692,1003.405967,365.8427015,2.444976077,2,0.9980,6,1.0000,13.7692121750852,-89.0152105228880
SAN SALVADOR,SANTA TECLA,El Salvador,51,0.4702,97.616,910.6795,2.7423,71.6586,1.087281065,14.73640155,2797.958344,103.9748597,2.601497138,2,0.8532,1,0.9207,13.6478989245341,-89.3094153571386
SAN SALVADOR,SANTIAGO TEXACUANGOS,El Salvador,33,0.8817,0.5225,23.2146,2.692,88.1337,1.150305488,2.815261462,1270.848384,267.3177763,2.373417722,2,0.9987,6,0.9933,13.6497629414654,-89.0950389557121
SAN SALVADOR,SANTO TOMAS,El Salvador,88,3.3223,9.6042,109.2197,4.564,62.9811,1.119606722,5.179404815,1957.329457,211.9961897,2.401869159,2,0.9464,2,0.9994,13.6407292701199,-89.1432635181166
SAN SALVADOR,SOYAPANGO,El Salvador,49,1.6384,775.4983,1450.5127,4.9084,60.4088,1.07392865,31.40586172,6265.402833,112.0175262,2.514727541,4,0.8278,3,0.9999,13.7037976721485,-89.1434253320716
SAN SALVADOR,TONACATEPEQUE,El Salvador,64,0.9429,11.1276,162.4849,2.3336,69.4707,1.079985426,7.777600035,1835.272426,134.0101966,2.647222222,1,0.7907,2,0.9979,13.7830247419792,-89.1188374638179
SANTA ANA,SANTA ANA,El Salvador,297,0.7293,34.275,739.0007,3.9441,72.0505,1.160176196,17.03532388,4528.500401,148.6726081,2.457627119,2,0.9929,1,0.9666,13.9774402188265,-89.5486796187929
Escuintla,Escuintla,Guatemala,217,0.3974,13.5082,493.5495,4.129,122.9231,1.107411027,3.457138332,1136.739622,187.8346009,2.662559618,2,0.9877,1,1.0000,14.2989073490247,-90.7931894999556
Guatemala,Amatitl·n,Guatemala,112,1.1111,78.8443,768.8387,5.7994,70.4092,1.127232866,14.94051534,3133.715901,122.157202,2.758584258,2,0.9201,3,0.6972,14.4526032647785,-90.6118791076757
Guatemala,Chinautla,Guatemala,46,0.6868,4.9001,105.7265,2.0286,103.2105,1.188374736,15.13856666,2916.12273,108.9746507,2.441215324,2,0.9788,6,0.9995,14.7264282526000,-90.4975961184092
Guatemala,Guatemala,Guatemala,219,1.0196,2502.2405,5559.4577,5.9292,63.288,1.076482725,68.07185654,10572.99496,89.26122743,2.845842572,1,0.9802,5,0.7831,14.6345316319659,-90.4793949864607
Guatemala,Fraijanes,Guatemala,169,1.4697,1.5995,35.4061,2.6166,85.2538,1.179588739,17.33489161,3534.265407,114.1463818,2.345466363,2,0.9869,6,0.9467,14.4684535021261,-90.4417679489004
Guatemala,Mixco,Guatemala,81,0.8976,1230.429,2871.1823,6.0987,68.6686,1.082517067,72.74170649,10774.17729,85.97863076,2.660743322,1,0.6885,3,0.9970,14.6398541587806,-90.5872565770919
Guatemala,Palencia,Guatemala,49,0.2254,0.5741,68.204,3.921,112.0522,1.225618882,5.413156468,2157.491942,214.890872,2.270822688,2,0.9620,6,0.9958,14.6647100020392,-90.3194748355034
Guatemala,Petapa,Guatemala,44,1.85,531.3816,1069.4813,5.247,60.8856,1.087643979,71.55327275,10854.33286,90.59391256,2.818579767,1,0.9052,3,0.9999,14.5063303115741,-90.5554669325121
Guatemala,San JosÈ Pinula,Guatemala,88,0.445,1.1163,82.6917,2.9211,84.3989,1.298044352,6.399651382,2600.181899,218.513141,2.423505572,2,0.9762,6,0.9903,14.5534218744041,-90.3463383815832
Guatemala,San Juan SacatepÈquez,Guatemala,215,0.789,2.0096,64.0547,2.8499,122.7709,1.159209952,10.507879,2680.351174,145.1700125,2.660509886,2,0.9769,6,0.9997,14.7686233661229,-90.6501591994217
Guatemala,San Lucas SacatepÈquez,Guatemala,62,2.6648,39.2768,239.5814,3.4637,67.0508,1.125524998,13.45727904,3993.173475,167.8093977,2.429787234,2,0.9896,2,0.9996,14.5971578581707,-90.6485044725131
Guatemala,San Pedro SacatepÈquez,Guatemala,55,1.9067,4.9001,57.4441,3.2117,93.5055,1.140269365,23.04892981,4437.954729,114.1955342,2.449691992,2,0.9865,2,0.5514,14.6786136735687,-90.6215839297667
Guatemala,Santa Catarina Pinula,Guatemala,183,2.7202,113.3198,533.9473,6.8585,67.5118,1.158801026,38.63010034,6888.021494,99.35936509,2.338697697,2,0.9244,3,0.9977,14.5634970748513,-90.4650556601428
Guatemala,Villa Canales,Guatemala,193,0.6901,2.9224,96.4078,2.2438,100.1978,1.127328714,5.437306638,1540.718859,161.6487052,2.494545455,2,0.8476,6,0.9995,14.3897566324238,-90.5322705476903
Guatemala,Villa Nueva,Guatemala,129,1.4499,630.3108,1691.8958,4.6989,63.8408,1.071194443,58.37179434,8785.195026,87.47319032,2.722607908,4,0.8241,3,0.9999,14.5400469458351,-90.6064079593367
Quetzaltenango,La Esperanza,Guatemala,28,2.2898,49.7641,201.7139,3.5731,65.3128,1.042224251,8.277229306,2773.718001,205.9061896,3.042735043,1,0.9985,2,0.9981,14.8774524442737,-91.5771625639215
Quetzaltenango,Olintepeque,Guatemala,153,4.763,7.1806,60.2329,3.4902,69.8699,1.118436798,6.456198926,2003.37986,195.341538,2.664179104,2,0.8720,2,1.0000,14.8927285635354,-91.5359673924050
