L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG
La Rioja,Argentina,260,0.0198,8.2121,2547.9585,4.9404,93.0326,1.060361976,0.436725155,131.0780464,168.7502458,3.198843559,2,0.7464,1,0.9996,-29.41299893,-66.85499664
Mendoza,Argentina,2658,0.1829,181.7494,11091.1582,7.4444,83.1285,1.05533457,1.515823488,431.8737628,158.5410342,2.994885917,4,1.0000,1,0.9935,-32.89699806,-68.83000158
San Rafael,Argentina,1123,0.035,1.4752,1082.1987,4.3079,162.6552,1.05546012,0.152873783,114.7949957,347.463116,3.145952722,3,1.0000,1,1.0000,-34.59999838,-68.33333578
Posadas,Argentina,299,0.3147,228.0604,3648.62,4.4801,66.7548,1.034990975,10.40273095,2109.225998,117.1951812,3.211316182,2,0.6478,3,0.5566,-27.39799808,-55.90600168
Neuquen-Plottier-Cipolletti,Argentina,2234,0.102,15.6205,2079.2218,4.4191,128.9648,1.049867571,1.251171544,403.0079198,181.4638507,3.174095963,4,0.9994,1,0.9995,-38.944908,-68.2833326
San Carlos de Bariloche,Argentina,410,0.0741,4.1436,740.2788,4.4184,75.001,1.106901948,0.866398982,292.5813366,192.1238255,2.988778055,3,0.9350,1,0.9979,-41.15000145,-71.30000304
Salta,Argentina,553,0.165,117.4228,4446.8497,5.92,78.7708,1.06072704,3.831420884,840.8979175,121.5329335,3.177787313,2,0.9429,2,0.9853,-24.783333,-65.416667
Santiago del Estero,Argentina,455,0.0778,58.0004,4739.5912,5.5302,83.0039,1.035588904,1.599862977,494.1952003,171.8051004,3.289832182,2,0.9731,1,0.9983,-27.79000206,-64.26899971
Rosario,Argentina,1634,0.4217,668.8705,10459.7196,7.2509,74.4462,1.028850141,7.672037419,2171.455435,159.6598494,3.311923439,4,0.9998,2,0.9840,-32.93773203,-60.66393257
Santa Fe,Argentina,991,0.3331,90.9284,2600.7689,4.0471,76.476,1.032085029,4.302490585,1138.106975,148.4361303,3.285734912,2,0.8844,2,0.9843,-31.617,-60.69799771
San Juan,Argentina,1116,0.8775,537.146,6246.6921,5.4303,76.9456,1.026261368,8.025722558,2064.291995,142.5261949,2.950509701,4,1.0000,2,0.9513,-31.534002,-68.52699868
